"algorithm","model","MSE_CV","MSE_training","MSE_testing","MSE_mean","error_training_mean","error_training_SEM","error_training_max","error_training_percent_mean","error_training_percent_SEM","error_training_percent_max","error_testing_mean","error_testing_SEM","error_testing_max","error_testing_percent_mean","error_testing_percent_SEM","error_testing_percent_max","error_mean_mean","error_mean_SEM","error_mean_max","error_mean_percent_mean","error_mean_percent_SEM","error_mean_percent_max","algorithm_run_time","time_performance_CV","time_prediction_training","time_performance_training","time_prediction_testing","time_performance_testing","time_prediction_mean","time_performance_mean","time_errors","n_models","n_training","n_testing","n_mean"
"GLM",1,1.23282741783885,1.17473831315606,2.22644274418997,0.0812995088811953,0.794817294534335,0.0954279761504983,3.54970069111826,3.19310517255817,0.380732479109069,13.9568713882101,1.15220067894139,0.23018886493042,3.09789677536514,4.60405376408223,0.917889712684981,13.970889286611,0.231320024058358,0.0654134952663637,0.609253196842655,0.92808842422646,0.262823030055596,2.05536846658184,457.639857053757,0.0917177200317383,7.05772185325623,0.0959954261779785,8.19716835021973,8.39125418663025,7.28861236572266,58.6076192855835,5.9956681728363,1000,130,43,20
"RF",402,1.19619404324995,1.20497917019745,1.64655788366322,0.254445494095209,0.509688732745317,0.0612551025527958,2.62087089064049,2.03961799911783,0.240032460326045,8.30264679848134,0.961543532058398,0.197618137447686,3.30838676445817,3.81808319426896,0.771712953031358,11.2632729079031,0.448518959746055,0.0988502862230939,0.97018683193782,1.83261911790054,0.400673431788078,4.87041582298102,559.507657766342,0.0968549251556396,10.156270980835,0.341702461242676,8.77423119544983,9.23868012428284,7.85049319267273,162.319501399994,5.58854007720947,1000,130,43,20
"GBM",877,0.837330351202011,0.189488546292509,1.20610050030339,0.658936304991826,0.310535388678535,0.0383262870352427,1.41494519127201,1.23618444452302,0.149506376420157,6.02091948500123,0.786016138823843,0.168454164020086,3.21514908454724,3.09455872969851,0.665774045147738,14.4768735540422,0.662432731878307,0.165643186199889,1.84624178538129,2.72507565391418,0.687555340071918,8.03498759783744,421.025611639023,0.110572099685669,7.40941095352173,0.127688407897949,8.26290893554688,8.50298738479614,8.16640281677246,256.869766712189,6.84808754920959,1000,130,43,20
"DL",318,1.14695801456484,1.2933211032207,2.49277645318571,0.248721032150362,0.823745170498895,0.0966632819920461,3.84472358472286,3.32914678714081,0.388986464442449,15.1359186018769,1.22022100909895,0.240170902142238,3.80756904970566,4.91821424953092,0.962741200419253,14.9677551769783,0.402513819631762,0.077532163215975,1.06221894025818,1.58864482314774,0.305229127342194,3.91728999178053,8780.76062989235,0.10963249206543,162.796096801758,0.135239601135254,41.6629993915558,41.9580278396606,19.6581079959869,795.699144124985,10.8094482421875,2000,130,43,20
"GLM",0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,130,43,20
"RF",0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,130,43,20
"GBM",0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,130,43,20
"DL",0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,130,43,20
"GLM",0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,130,43,20
"RF",0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,130,43,20
"GBM",0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,130,43,20
"DL",0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,130,43,20
